Red,IR
6.5938,17.1876
7.0313,15.8751
6.9063,15.5626
9.5938,16.1251
8.375,18.0001
8.6563,19.6251
8.0313,20.8126
8.3125,21.8126
8.9688,23.0001
10.4375,23.4376
9.9375,23.6876
8.1875,22.8126
8.875,22.1251
7.9375,20.8751
8,19.4376
7.4688,17.1251
6.75,15.5626
4.1563,13.3751
5.125,11
1.7188,8.625
3.5938,7.0625
2.6875,4.375
1.4688,3
3.6563,1.125
1.7188,-1.625
-0.1563,-2.75
2.1563,-4.9375
-1.8125,-7.5625
-1.7188,-9.1875
-2.2813,-11.5
-2.4375,-13.5626
-4.8125,-15.7501
-7.6563,-18.8126
-6.375,-20.2501
-6.6563,-22.3751
-10.2813,-25.5626
-10.9375,-27.7501
-12.0313,-28.5626
-12.0625,-29.9376
-8.625,-32.2501
-11.7813,-33.5001
-11.5,-34.0001
-10.75,-34.4376
-11.4375,-34.9376
-13.8126,-35.0001
-11.3438,-34.0626
-12.4063,-33.2501
-11.4063,-29.6251
-6.5625,-21.1876
-3.9375,-8.375
0.5,6.5625
4.6875,20.1251
8.3125,32.6251
10.375,42.0627
13.1563,49.3127
17.1251,54.5627
17.3751,57.1877
17.6563,58.0627
17.7501,58.0002
15.5001,57.1252
19.6876,54.4377
16.4688,51.1877
16.9688,49.0627
16.1563,46.1252
16.0001,43.6877
13.7501,40.7502
14.0001,37.5001
12.5625,35.6876
12.5938,33.7501
12.2813,31.7501
11.75,29.2501
8.3125,27.0001
8.5938,24.1876
10,21.4376
6.4063,18.6251
6.0313,16.3126
5.6875,13.5001
5.1563,11.25
5.375,11.5625
6.8125,11.1875
5,13
4.7188,13.7501
8.875,14.8126
7.2813,16.7501
6.125,17.4376
4,18.4376
6.5313,19.3126
8.4063,18.7501
6.5313,18.4376
6.0313,17.3126
6.6875,14.2501
3.75,12.75
5.7813,11.625
4.3438,9.5
1.75,7.0625
4.3125,5.25
3.25,2.875
2.0313,0.5625
0.7813,-1.9375
0.4375,-5.0625
-0.375,-7
-1.0625,-10.3125
-1,-12.0625
-1.9688,-15.0001
-5.8125,-16.9376
-4.9063,-19.3126
-5.9688,-22.1251
-5.6563,-24.1251
-7.625,-26.3751
-7.3438,-27.2501
-7.1875,-28.0626
-8.25,-30.2501
-6.7813,-30.6876
-8.9063,-31.3751
-11.7813,-32.1251
-6.4688,-32.1251
-8.5625,-32.8751
-8.7813,-33.8751
-9.1563,-34.1251
-9.5313,-34.8126
-11.9688,-35.6251
-10.1563,-37.1251
-8.9688,-38.0001
-10.4375,-39.1251
-10,-40.2502
-10.9688,-42.1877
-14.3438,-43.2502
-12.5,-44.3752
-14.2501,-46.2502
-12.9688,-46.7502
-11.875,-48.5002
-12.75,-49.0002
-13.4688,-49.5002
-14.2813,-49.8127
-14.0938,-48.5002
-15.8126,-44.6877
-11.6563,-34.7501
-7.4688,-19.8751
-3.2813,-1.4375
3.6563,17.4376
9.375,32.2501
12.5625,43.4377
15.7501,51.8127
17.0938,57.5627
20.1876,60.1252
19.5938,61.2502
19.7501,60.6252
17.9063,59.4377
20.3126,57.4377
16.9063,55.4377
16.7501,53.1252
16.0938,48.8752
14.1876,46.7502
15.6563,44.1877
15.8126,41.1252
13.6251,39.0626
11.0313,37.0626
10.7188,35.2501
10.0625,33.1251
10.3125,30.7501
9.6563,28.8751
6.125,23.1876
5.4063,19.7501
5.5625,17.8751
8.125,17.3751
8.75,17.2501
6.0625,15.9376
6.125,16.9376
5.4688,17.4376
6.3438,18.0626
5.5,19.1251
9.5,20.3126
6.9688,20.1251
8.3438,20.1876
5.4063,19.1251
5.6875,19.0626
5.1563,16.5626
5.0313,15.8751
5.0938,14.3126
4.3438,11.5625
4.5313,10.1875
5.5,7.4375
2.375,4.625
2.5625,3
2.375,0.1875
0.625,-2.4375
-0.1563,-5.375
-1.6875,-6.75
0.375,-9.125
-3.5313,-11.375
-5,-13.6876
-4,-16.8751
-7.5938,-18.5626
-3.9375,-20.0001
-3.6875,-21.9376
-5.6875,-23.7501
-6.625,-25.6876
-7.875,-25.8751
-7.125,-27.0626
-6.9375,-27.8751
-8,-27.8126
-10.5,-27.6876
-7.2188,-28.1251
-9.5313,-28.8751
-9.7813,-28.4376
-8.2813,-29.9376
-9.9688,-30.5001
-8.375,-30.5001
-10.4688,-31.6251
-7.6875,-32.8751
-8.8125,-33.8751
-8.7813,-35.3751
-8.3125,-36.9376
-7.75,-37.8751
-9.8125,-38.7501
-10.3125,-39.7502
-11.0625,-40.8127
-13.0625,-41.0627
-9.4375,-42.0627
-11.375,-43.2502
-13.1875,-42.8127
-11.7813,-41.6877
-11.5625,-37.2501
-8.1563,-28.8126
-3.625,-15.3126
-0.375,2.875
4.8438,19.3751
9.4063,32.7501
11.9063,43.0627
15.1563,50.4377
16.5001,54.2502
20.4688,57.6877
19.7501,57.0627
19.5938,57.0627
19.1876,55.7502
17.7813,52.5627
18.7188,50.6252
15.4688,47.0002
18.0313,44.5002
16.0938,40.5002
13.5626,38.3126
17.0938,36.6876
16.4376,34.2501
14.3438,31.6876
12.8125,31.5001
11.5625,28.8126
9.8125,26.6251
10.625,24.0001
9.5313,20.9376
7.3125,18.8126
9.3125,16.1876
8.0938,14.0626
6.2813,12.875
5.2813,12.5625
3.625,12.5625
6.5625,13
4.625,14.6876
9.7188,15.8126
4.4063,17.3126
7.375,18.3751
5.5313,18.1251
6.4375,18.4376
5,18.6876
6.5313,17.0626
4,16.4376
5.1875,15.3751
5.875,14.0626
7.8438,11.8125
6.0938,9.3125
4.5938,7.6875
2.7813,6.4375
4.8438,4.5625
6.5,1.25
3.9688,-0.1875
1.625,-3.0625
0.4375,-3.9375
2.0938,-5.9375
2.0625,-7.3125
1.3125,-9.875
0.1563,-11.9375
-2.8438,-13.0625
0.125,-15.0626
-2.1563,-18.0001
-5.6563,-20.2501
-4.4375,-21.9376
-4.4375,-23.3126
-3.125,-25.4376
-5.5,-27.2501
-6.5313,-29.5001
-9.375,-30.8751
-10.2813,-31.5001
-6.7188,-32.7501
-3.8125,-33.9376
-10.7813,-37.6251
-10.9688,-38.1251
-11.8438,-38.2501
-10.1875,-37.1251
-7.4063,-33.6251
4.625,12.6875
7.0625,25.0626
7.8125,33.6876
11.75,41.4377
13.9063,47.1877
15.5001,48.9377
17.5001,49.4377
14.3438,49.3127
15.1563,47.0627
14.2188,45.0002
15.6563,42.3127
16.5313,39.2502
17.0938,36.0626
13.8438,33.3126
14.7813,30.5001
12.0625,28.1251
11.625,26.2501
11.4063,23.0626
11.0625,21.3126
10.2188,19.1876
8.25,16.1876
7.0625,14.4376
7.7813,11.1875
5.1875,9.875
5.9688,6.625
3.4063,4
4.4688,3
5.5938,2.0625
6.0938,2.9375
5.0313,4
4.2813,5.0625
9.6563,6.25
7.0313,8.0625
6.9063,10.3125
6.7188,10.0625
6.875,11.0625
6,10.75
6,10.0625
3.4375,9.0625
6.9375,7.6875
4.9688,4.625
6.5313,4
2.5313,1.9375
4.2813,-0.8125
1.4688,-2.75
0.125,-4.8125
-0.6875,-7.9375
-1.5313,-10.1875
-0.6875,-12.5
1.2813,-14.6876
-2.75,-16.5626
-3.375,-19.0001
-6.5,-21.1251
-6.2813,-22.3126
-5.5938,-24.2501
-8.75,-25.6251
-7.0313,-27.2501
-6,-28.8751
-7.2188,-30.1251
-6.25,-29.8751
-8.9375,-30.9376
-5.8438,-32.3126
-7.6875,-33.8751
-9.4375,-34.2501
-8.6563,-35.2501
-10.3438,-36.7501
-10.5,-38.7501
-10.0938,-39.6877
-9.875,-41.2502
-11.2813,-43.6877
-10.3125,-44.6252
-11.875,-47.4377
-12.7813,-48.9377
-12.8125,-49.5002
-12.5313,-51.1252
-13.1563,-52.0002
-13.5001,-52.0627
-13.8751,-51.6252
-12.2188,-50.4377
-11.6563,-47.0002
-12.9063,-37.8751
-5.9375,-23.7501
-1.0938,-4.375
5.875,14.6251
8.8125,28.3751
13.3438,39.5002
14.0313,47.2502
18.1876,53.0002
15.1563,55.5627
17.0001,57.0002
19.1251,56.3127
17.2501,54.5002
18.1251,52.0627
15.2188,49.1252
15.2813,45.8752
13.2188,42.1877
11.2188,40.5002
11.0938,37.0001
9.9063,34.1876
12.9063,31.9376
12.1875,30.8126
12.0625,28.3751
12.7813,26.0626
9.5938,25.3751
10.9063,22.1251
7.3125,19.1251
8.3125,17.9376
8.2188,14.7501
8.1563,13.2501
7.1875,11.625
7.3125,10.375
5.25,10.25
7,10.25
4.75,10.8125
6.5313,12.0625
4.0938,12.5625
5.9688,14.2501
5.6875,15.4376
7.2813,15.5001
5.9063,15.0001
9.4688,14.8126
4.6563,14.0001
3.5313,12.6875
7.1875,11.3125
5.4375,10.625
3.9375,8.4375
5.625,7.4375
2.1875,4.8125
2.0938,3
-5.6563,-14.8751
-4.625,-16.4376
-4.5625,-19.1251
-6.0625,-20.9376
-5.5938,-23.3126
-5.5313,-27.2501
-6.2813,-29.1251
-10.4375,-30.6251
-9.3125,-31.0001
-7.5625,-32.0001
-9.3125,-33.1876
-9.875,-33.8126
-9.9688,-33.7501
-11.7188,-34.4376
-9.2813,-34.3751
-5.625,-34.6251
-8.9688,-35.6876
-10.375,-35.5626
-8.125,-36.5626
-10.2813,-37.2501
-10.2813,-39.2501
-10.4063,-40.5002
-12.125,-41.8127
-13.0938,-43.1252
-13.3438,-43.9377
-13.4063,-45.8752
-13.5001,-46.8127
-13.4688,-47.6252
-15.3126,-48.9377
-13.3126,-49.5002
-14.9376,-50.0002
-12.4688,-49.7502
-13.6876,-48.6877
-13.3126,-45.0002
-11.375,-35.8751
-6.0313,-21.1251
-1.4688,-1.75
7.5938,16.5001
10,30.0626
12.9063,41.1877
15.0938,48.5627
16.1251,54.0002
17.7501,56.5627
18.6563,57.9377
17.6251,57.5002
18.2813,55.5002
15.5313,53.3752
15.5313,51.2502
15.6876,47.8127
12.6875,44.8127
12.4063,41.9377
12.9063,38.8126
12.3125,36.5626
14.1876,34.3751
10.5,32.3751
11.125,30.2501
12.0938,28.9376
9.4375,27.9376
8.8125,25.5001
9.0938,23.4376
8.0625,20.0626
7.3438,18.2501
8.7188,16.8126
6.6875,14.8126
4.2813,14.5001
5.8125,14.6251
6.6563,15.2501
4.875,15.8751
4.5625,16.5626
3.7188,19.0001
7.7188,19.1876
8.1563,20.7501
8.0313,20.5001
6.625,20.1251
7.4375,20.8126
9.125,19.1251
8.5,18.0001
6.7188,16.3751
4.375,14.5001
8.0938,13.0625
4.5313,10.8125
4.6875,8.75
2.0313,6.875
3.2188,5.25
2.2813,3.625
0.4688,1.5
0.5938,0.5
1.75,-1.375
2.6563,-3.5
-0.0625,-5.75
-1.6563,-7.4375
-2.1875,-9.3125
-2.4063,-11.8125
0.4063,-13.5626
-0.3438,-15.8751
-1.5625,-17.8751
-4.0625,-19.6251
-4.7813,-21.6876
-6.3438,-23.2501
-6.2813,-24.8751
-5.1875,-26.8751
-5.9375,-27.5626
-7.625,-29.6251
-5.5625,-30.7501
-4.5625,-30.8751
-3.625,-32.0001
-5.0313,-32.2501
-4.7188,-31.8126
-6.9375,-31.3751
-4.6563,-30.9376
-5.375,-29.1876
-6.625,-23.2501
-1.9688,-12.5
-0.9688,0.125
5.8125,14.0001
9.4688,25.1876
14.0313,35.7501
16.1876,42.8127
17.6251,48.0627
20.6563,52.1877
19.5938,53.1252
18.8438,52.4377
19.3751,52.3752
21.4063,50.7502
17.5001,48.5002
18.4063,45.9377
17.7813,41.8127
12.875,38.9376
14.4376,35.7501
12.5625,32.6876
11.0938,30.6876
13.5938,28.7501
11.75,26.3751
11.1875,24.2501
10.3125,21.6876
9.8125,19.3126
9.1563,17.1876
7,14.1876
8.9375,12.6875
6.8438,10.125
5.1875,9.6875
5.7188,8.3125
2.625,8.625
5,9.0625
6.4375,10.9375
3.625,11.625
6.9063,13.2501
2,14.8126
3.0313,15.4376
6.625,16.0626
5.8125,16.6876
5.3438,16.9376
7.4063,16.2501
5.8125,15.6251
4.7813,14.4376
0.0938,12.875
2.0625,12.375
3.4063,11.9375
3.3125,10.625
0.5938,9.25
0.625,8.5
-1.9063,7.1875
-1.5625,7.0625
2.1875,7.25
-0.5,6.3125
0.2188,5.1875
-2.4688,4.5625
-2.0938,3.9375
-1.75,0.875
-2.5625,-2.75
-7.6563,-4.3125
-5.4688,-2.3125
-1.4375,-0.125
3.3125,2.875
2.125,3.625
0.5938,2.0625
-0.0625,0.5625
0.5,-2.4375
-1.8438,-5.0625
-3.8438,-7.4375
